epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,685.774,1.50397,2.27466,1.73571,0.75856,0.20774,0.50224,0.25411,1.32498,2.59968,1.58014,0.00054,0.00054,0.00054
2,713.419,1.42133,1.79138,1.64872,0.59018,0.54959,0.53904,0.25889,1.56391,2.3946,2.02188,0.00109274,0.00109274,0.00109274
3,741.916,1.38026,1.65983,1.59706,0.46944,0.35537,0.3309,0.16471,1.79408,3.33489,2.3635,0.00163809,0.00163809,0.00163809
4,768.69,1.4333,1.66335,1.67014,0.35051,0.22727,0.19541,0.07505,2.40198,4.02427,3.31822,0.0019604,0.0019604,0.0019604
5,797.043,1.479,1.58693,1.69559,0.47892,0.39256,0.39883,0.19822,1.82235,2.38268,2.04189,0.0019472,0.0019472,0.0019472
6,824.676,1.40953,1.4446,1.62822,0.58765,0.53306,0.57204,0.32012,1.63572,2.09892,1.89856,0.001934,0.001934,0.001934
7,852.561,1.35763,1.3749,1.58785,0.47885,0.53719,0.48638,0.27777,1.63077,2.20472,1.83808,0.0019208,0.0019208,0.0019208
8,881.373,1.33291,1.3136,1.57581,0.66581,0.50413,0.60702,0.3795,1.48858,1.55177,1.71087,0.0019076,0.0019076,0.0019076
9,911.039,1.30183,1.29824,1.54089,0.78436,0.57851,0.68837,0.44946,1.34591,1.68925,1.65986,0.0018944,0.0018944,0.0018944
10,939.325,1.26842,1.2077,1.53745,0.79195,0.68182,0.74289,0.46183,1.33294,1.14325,1.61949,0.0018812,0.0018812,0.0018812
11,968.335,1.24897,1.19236,1.4988,0.7144,0.57438,0.66206,0.40279,1.46455,1.6745,1.75489,0.001868,0.001868,0.001868
12,996.344,1.19434,1.14861,1.47659,0.7709,0.63636,0.73739,0.46788,1.34908,1.23175,1.61559,0.0018548,0.0018548,0.0018548
13,1025.79,1.20109,1.11986,1.4788,0.81198,0.69596,0.7946,0.53094,1.20091,1.12496,1.45838,0.0018416,0.0018416,0.0018416
14,1054.47,1.1362,1.07932,1.4258,0.77727,0.63452,0.74316,0.45425,1.23628,1.49886,1.50124,0.0018284,0.0018284,0.0018284
15,1082.76,1.16542,1.07618,1.45385,0.89445,0.70248,0.81952,0.55385,1.14945,0.99998,1.42608,0.0018152,0.0018152,0.0018152
16,1111.58,1.13082,1.1027,1.43103,0.83071,0.72996,0.81186,0.55868,1.15256,0.95585,1.47886,0.001802,0.001802,0.001802
17,1139.45,1.09605,1.00791,1.39742,0.73205,0.55372,0.65989,0.41756,1.36437,1.3415,1.64889,0.0017888,0.0017888,0.0017888
18,1167.15,1.11622,1.0267,1.41984,0.75467,0.7314,0.80453,0.5493,1.17922,1.08478,1.46247,0.0017756,0.0017756,0.0017756
19,1194.8,1.08811,1.00223,1.39216,0.84864,0.68182,0.81496,0.56368,1.07083,0.98162,1.3868,0.0017624,0.0017624,0.0017624
20,1222.17,1.02251,0.89776,1.33692,0.85329,0.7931,0.86119,0.59918,1.06179,0.86906,1.36026,0.0017492,0.0017492,0.0017492
21,1250.87,1.03688,0.93442,1.34713,0.82045,0.75531,0.83422,0.57879,1.0925,0.90855,1.40987,0.001736,0.001736,0.001736
22,1277.13,1.05413,0.9546,1.38567,0.81583,0.76882,0.84894,0.58364,1.10199,0.8347,1.36522,0.0017228,0.0017228,0.0017228
23,1304.5,1.01886,0.92616,1.33615,0.8463,0.69421,0.81606,0.56373,1.09405,0.90674,1.36869,0.0017096,0.0017096,0.0017096
24,1332.4,1.00192,0.89347,1.31426,0.80795,0.78512,0.85203,0.5838,1.04836,0.83723,1.35051,0.0016964,0.0016964,0.0016964
25,1360.1,0.97698,0.86684,1.3157,0.86383,0.73398,0.83525,0.57803,1.07331,0.9015,1.38729,0.0016832,0.0016832,0.0016832
26,1387.19,1.00484,0.88978,1.32561,0.81017,0.81125,0.85604,0.60033,1.03043,0.83351,1.34732,0.00167,0.00167,0.00167
27,1414.13,0.95467,0.83815,1.28561,0.83771,0.76033,0.85388,0.60189,1.02358,0.91921,1.32278,0.0016568,0.0016568,0.0016568
28,1442.07,0.93672,0.81552,1.27361,0.87511,0.69835,0.82997,0.57934,1.0784,0.86772,1.39925,0.0016436,0.0016436,0.0016436
29,1468.56,0.95335,0.85881,1.29112,0.83684,0.73554,0.83509,0.57032,1.03558,0.91067,1.3611,0.0016304,0.0016304,0.0016304
30,1495.81,0.95051,0.8486,1.30083,0.82518,0.79339,0.86486,0.62147,1.01225,0.77791,1.31149,0.0016172,0.0016172,0.0016172
31,1523.23,0.95696,0.84228,1.29075,0.85868,0.75321,0.85891,0.61685,1.00169,0.81275,1.32762,0.001604,0.001604,0.001604
32,1552.15,0.91666,0.83145,1.26881,0.8535,0.79752,0.85099,0.60172,1.01258,0.82082,1.32095,0.0015908,0.0015908,0.0015908
33,1578.7,0.94313,0.83997,1.28265,0.88931,0.76446,0.88189,0.60375,1.04005,0.82944,1.34092,0.0015776,0.0015776,0.0015776
34,1606.71,0.90448,0.78067,1.25324,0.81976,0.78099,0.85158,0.62268,1.01304,0.7367,1.32971,0.0015644,0.0015644,0.0015644
35,1633.92,0.90875,0.80487,1.26342,0.80126,0.79968,0.85242,0.60006,1.0115,0.87257,1.3408,0.0015512,0.0015512,0.0015512
36,1660.45,0.90477,0.77178,1.24155,0.85549,0.77686,0.86375,0.62798,0.99303,0.77234,1.28655,0.001538,0.001538,0.001538
37,1688.45,0.88401,0.77851,1.24749,0.87711,0.76685,0.8592,0.61855,1.00093,0.78964,1.30941,0.0015248,0.0015248,0.0015248
38,1715.56,0.91259,0.81275,1.25848,0.87709,0.75207,0.84579,0.60609,0.98425,0.80327,1.33043,0.0015116,0.0015116,0.0015116
